customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-GTOKH,Male,1,No,Yes,47,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.76,2698.28,No
0002-UGZSW,Male,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,59.15,1600.93,No
0003-KKXUD,Male,0,No,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,83.63,159.7,No
0004-HXCVU,Male,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),62.96,1072.94,No
0005-BXLFB,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.91,111.36,No
0006-UALZV,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),65.69,1803.79,No
0007-LYQJP,Male,1,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.74,840.75,No
0008-OOSLW,Male,0,No,No,38,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,56.91,2219.63,No
0009-TYCES,Male,1,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.66,1163.75,No
0010-GUIGR,Male,0,Yes,Yes,56,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.3,3274.7,No
0011-DYNRZ,Male,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),82.5,1777.15,Yes
0012-IZUBT,Female,0,Yes,Yes,21,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),74.66,1581.11,Yes
0013-OGLHO,Male,1,Yes,Yes,50,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,47.51,2460.17,No
0014-CNQDR,Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.25,679.7,No
0015-HDBFV,Female,0,Yes,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,35.37,2105.83,No
0016-JDVRZ,Male,0,No,No,48,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),44.12,2108.21,No
0017-LBJDN,Female,1,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.92,803.23,No
0018-POHNW,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,71.22,75.07,Yes
0019-YHUPM,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,71.08,2587.19,No
